"Num","Edge","Explanation","v","w","e"
27,"pets -> dust_microbiome","adjusted for different pet species","pets","dust_microbiome","->"
27,"season -> allergy","adjusted for season","season","allergy","->"
27,"season -> dust_microbiome","adjusted for season","season","dust_microbiome","->"
32,"airway_microbiome <-> dust_microbiome",NA,"airway_microbiome","dust_microbiome","<->"
32,"dust_microbiome -> inflammation","suggests that the effect of dust microbiome on allergy outcomes are mediated by inflammation","dust_microbiome","inflammation","->"
32,"inflammation -> allergy","suggests that the effect of dust microbiome on allergy outcomes are mediated by inflammation","inflammation","allergy","->"
33,"age -> allergy","adjusted for age","age","allergy","->"
33,"age -> dust_microbiome","adjusted for age","age","dust_microbiome","->"
33,"age -> humidity","adjusted for age","age","humidity","->"
33,"dust_microbiome -> allergy",NA,"dust_microbiome","allergy","->"
33,"education_level -> allergy","adjusted for education_level","education_level","allergy","->"
33,"education_level -> dust_microbiome","adjusted for education_level","education_level","dust_microbiome","->"
33,"education_level -> humidity","adjusted for education_level","education_level","humidity","->"
33,"endotoxin -> allergy","endotoxin related to respiratory symptoms","endotoxin","allergy","->"
33,"gender -> allergy","adjusted for gender","gender","allergy","->"
33,"gender -> dust_microbiome","adjusted for gender","gender","dust_microbiome","->"
33,"gender -> humidity","adjusted for gender","gender","humidity","->"
33,"humidity -> allergy","water damage in school building associated with respiratory symptoms","humidity","allergy","->"
33,"humidity -> dust_microbiome","part of the effect of water damage in school buildings is mediated through microbioal taxa","humidity","dust_microbiome","->"
33,"humidity -> endotoxin","part of the effect of water damage in school buildings is mediated through endotoxin","humidity","endotoxin","->"
33,"humidity_home -> allergy","adjusted for humidity at home","humidity_home","allergy","->"
33,"humidity_home -> dust_microbiome","adjusted for humidity at home","humidity_home","dust_microbiome","->"
33,"humidity_home -> humidity","adjusted for humidity at home","humidity_home","humidity","->"
35,"dust_microbiome -> allergy","main","dust_microbiome","allergy","->"
35,"dust_microbiome -> inflammation","immune-related mechanisms could explain the effect of the dust microbiome on allergy","dust_microbiome","inflammation","->"
35,"dust_microbiome -> metabolism","metabolism-related genes could explain the effect of the dust microbiome on allergy","dust_microbiome","metabolism","->"
35,"gender -> allergy","adjusted for gender","gender","allergy","->"
35,"gender -> dust_microbiome","adjusted for gender","gender","dust_microbiome","->"
35,"inflammation -> allergy","immune-related mechanisms could explain the effect of the dust microbiome on allergy","inflammation","allergy","->"
35,"metabolism -> allergy","metabolism-related genes could explain the effect of the dust microbiome on allergy","metabolism","allergy","->"
35,"parental_asthma -> allergy","adjusted for parental_asthma","parental_asthma","allergy","->"
35,"parental_asthma -> dust_microbiome","adjusted for parental_asthma","parental_asthma","dust_microbiome","->"
35,"smoking -> allergy","adjusted for smoking","smoking","allergy","->"
35,"smoking -> dust_microbiome","adjusted for smoking","smoking","dust_microbiome","->"
35,"urbanicity -> allergy","concluded urbanicity related to allergy","urbanicity","allergy","->"
35,"urbanicity -> dust_microbiome","concluded urbanicity related to dust microbiome","urbanicity","dust_microbiome","->"
37,"dust_microbiome -> allergy","main","dust_microbiome","allergy","->"
37,"gender -> allergy","adjusted for gender","gender","allergy","->"
37,"gender -> dust_microbiome","adjusted for gender","gender","dust_microbiome","->"
37,"humidity -> dust_microbiome","indoor dampness/ visible mold was associated with asthma-associated bacteria","humidity","dust_microbiome","->"
37,"parental_asthma -> allergy","adjusted for parental_asthma","parental_asthma","allergy","->"
37,"parental_asthma -> dust_microbiome","adjusted for parental_asthma","parental_asthma","dust_microbiome","->"
37,"smoking -> allergy","adjusted for smoking","smoking","allergy","->"
37,"smoking -> dust_microbiome","adjusted for smoking","smoking","dust_microbiome","->"
38,"dust_microbiome -> allergy","main","dust_microbiome","allergy","->"
49,"animal_contact -> dust_microbiome","associated with asthma-related microbes","animal_contact","dust_microbiome","->"
49,"building_material -> dust_microbiome","associated with asthma-related microbes","building_material","dust_microbiome","->"
49,"dust_microbiome -> allergy","main","dust_microbiome","allergy","->"
49,"gender -> allergy","adjusted for gender","gender","allergy","->"
49,"gender -> dust_microbiome","adjusted for gender","gender","dust_microbiome","->"
49,"maternal_allergy -> allergy","adjusted for maternal allergies","maternal_allergy","allergy","->"
49,"maternal_allergy -> dust_microbiome","adjusted for maternal allergies","maternal_allergy","dust_microbiome","->"
49,"smoking_pregnancy -> allergy","adjusted for maternal smoking during pregnancy","smoking_pregnancy","allergy","->"
49,"smoking_pregnancy -> dust_microbiome","adjusted for maternal smoking during pregnancy","smoking_pregnancy","dust_microbiome","->"
49,"ventilation -> dust_microbiome","associated with asthma-related microbes","ventilation","dust_microbiome","->"
9,"dust_microbiome -> allergy","main","dust_microbiome","allergy","->"
9,"dust_weight -> dust_microbiome","effect of dust weight potentially mediated through dust microbiome","dust_weight","dust_microbiome","->"
9,"gender -> allergy","adjusted for gender","gender","allergy","->"
9,"gender -> dust_microbiome","adjusted for gender","gender","dust_microbiome","->"
9,"humidity -> dust_microbiome","effect of humidity potentially mediated through dust microbiome","humidity","dust_microbiome","->"
9,"indoor_CO2 -> dust_microbiome","effect of indoor CO2 potentially mediated through dust microbiome","indoor_CO2","dust_microbiome","->"
9,"parental_asthma -> allergy","adjusted for parental_asthma","parental_asthma","allergy","->"
9,"parental_asthma -> dust_microbiome","adjusted for parental_asthma","parental_asthma","dust_microbiome","->"
9,"smoking -> allergy","adjusted for smoking","smoking","allergy","->"
9,"smoking -> dust_microbiome","adjusted for smoking","smoking","dust_microbiome","->"
