"Num","Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extras","Citation_key","PMID","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
41,"VM98MNER","journalArticle",2020,"Kakumanu, Madhavi L.; DeVries, Zachary C.; Barbarin, Alexis M.; Santangelo, Richard G.; Schal, Coby","Bed bugs shape the indoor microbial community composition of infested homes","Science of The Total Environment",NA,"489697","10.1016/j.scitotenv.2020.140704","https://linkinghub.elsevier.com/retrieve/pii/S0048969720342261","Indoor pests, and the allergens they produce, adversely affect human health. Surprisingly, however, their effects on indoor microbial communities have not been assessed. Bed bug (Cimex lectularius) infestations pose severe challenges in elderly and low-income housing. They void large amounts of liquid feces into the home environment, which might alter the indoor microbial community composition. In this study, using bed bug-infested and uninfested homes, we showed a strong impact of bed bug infestations on the indoor microbial diversity. Floor dust samples were collected from uninfested and bed bug-infested homes and their microbiomes were analyzed before and after heat interventions that eliminated bed bugs. The microbial communities of bed bug-infested homes were radically different from those of uninfested homes, and the bed bug endosymbiont Wolbachia was the major driver of this difference. After bed bugs were eliminated, the microbial community gradually shifted toward the community composition of uninfested homes, strongly implicating bed bugs in shaping the dust-associated environmental microbiome. Further studies are needed to understand the viability of these microbial communities and the potential risks that bed bug-associated microbes and their metabolites pose to human health.","2020-11","25/04/2024 16:33","25/04/2024 16:33",NA,"140704",NA,"","743",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citation Key: kakumanu2020a PMID: 32927527","kakumanu2020a ",32927527,NA,NA,NA,"Bed bug; Cimex lectularius; Environmental intervention; Household dust; Indoor microbiome; Infestation; Microbiota; Pest",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"5YDPKMT3","journalArticle",2020,"Gupta, Shashank; Hjelmsø, Mathis H.; Lehtimäki, Jenni; Li, Xuanji; Mortensen, Martin S.; Russel, Jakob; Trivedi, Urvish; Rasmussen, Morten A.; Stokholm, Jakob; Bisgaard, Hans; Sørensen, Søren J.","Environmental shaping of the bacterial and fungal community in infant bed dust and correlations with the airway microbiota","Microbiome",NA,"2049-2618","10.1186/s40168-020-00895-w","https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00895-w","Background: From early life, children are exposed to a multitude of environmental exposures, which may be of crucial importance for healthy development. Here, the environmental microbiota may be of particular interest as it represents the interface between environmental factors and the child. As infants in modern societies spend a considerable amount of time indoors, we hypothesize that the indoor bed dust microbiota might be an important factor for the child and for the early colonization of the airway microbiome. To explore this hypothesis, we analyzed the influence of environmental exposures on 577 dust samples from the beds of infants together with 542 airway samples from the Copenhagen Prospective Studies on Asthma in Childhood2010 cohort. Results: Both bacterial and fungal community was profiled from the bed dust. Bacterial and fungal diversity in the bed dust was positively correlated with each other. Bacterial bed dust microbiota was influenced by multiple environmental factors, such as type of home (house or apartment), living environment (rural or urban), sex of siblings, and presence of pets (cat and/or dog), whereas fungal bed dust microbiota was majorly influenced by the type of home (house or apartment) and sampling season. We further observed minor correlation between bed dust and airway microbiota compositions among infants. We also analyzed the transfer of microbiota from bed dust to the airway, but we did not find evidence of transfer of individual taxa. Conclusions: Current study explores the influence of environmental factors on bed dust microbiota (both bacterial and fungal) and its correlation with airway microbiota (bacterial) in early life using high-throughput sequencing. Our findings demonstrate that bed dust microbiota is influenced by multiple environmental exposures and could represent an interface between environment and child. [MediaObject not available: see fulltext.]","2020-12","25/04/2024 16:33","25/04/2024 16:33",NA,"115",NA,"1","8",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citation Key: gupta2020a PMID: 32767985","gupta2020a ",32767985,NA,NA,NA,"Airway microbiome; Bacterial microbiome; Fungal microbiome; House dust; Infant microbiome",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"TIC6VGDK","journalArticle",2020,"Rocchi, Steffi; Reboux, Gabriel; Scherer, Emeline; Laboissière, Audrey; Zaros, Cécile; Rouzet, Adeline; Valot, Benoit; Khan, Sadia; Dufourg, Marie-Noëlle; Leynaert, Bénédicte; Raherison, Chantal; Millon, Laurence","Indoor microbiome: Quantification of exposure and association with geographical location, meteorological factors, and land use in france","Microorganisms",NA,"2076-2607","10.3390/microorganisms8030341","https://www.mdpi.com/2076-2607/8/3/341","The indoor microbial community is a mixture of microorganisms resulting from outdoor ecosystems that seed the built environment. However, the biogeography of the indoor microbial community is still inadequately studied. Dust from more than 3000 dwellings across France was analyzed by qPCR using 17 targets: 10 molds, 3 bacteria groups, and 4 mites. Thus, the first spatial description of the main indoor microbial allergens on the French territory, in relation with biogeographical factors influencing the distribution of microorganisms, was realized in this study. Ten microorganisms out of 17 exhibited increasing abundance profiles across the country: Five microorganisms (Dermatophagoïdes pteronyssinus, Dermatophagoïdes spp., Streptomyces spp., Cladosporium sphaerospermum, Epicoccum nigrum) from northeast to southwest, two (Cryptococcus spp., Alternaria alternata) from northwest to southeast, Mycobacteria from east to west, Aspergillus fumigatus from south to north, and Penicillium chrysogenum from south to northeast. These geographical patterns were partly linked to climate and land cover. Multivariate analysis showed that composition of communities seemed to depend on landscapes, with species related to closed and rather cold and humid landscapes (forests, located in the northeast) and others to more open, hot, and dry landscapes (herbaceous and coastal regions, located in the west). This study highlights the importance of geographical location and outdoor factors that shape communities. In order to study the effect of microorganisms on human health (allergic diseases in particular), it is important to identify biogeographic factors that structure microbial communities on large spatial scales and to quantify the exposure with quantitative tools, such as the multi-qPCR approach.","2020-02","25/04/2024 16:33","25/04/2024 16:33",NA,"341",NA,"3","8",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citation Key: rocchi2020a","rocchi2020a",NA,NA,NA,NA,"Bacteria; Dust mites; Electrostatic dust collector; Indoor exposure; Molds; QPCR",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"FQ2DMH3Q","journalArticle",2020,"Kwan, S.E.; Shaughnessy, R.; Haverinen-Shaughnessy, U.; Kwan, T.A.; Peccia, J.","The impact of ventilation rate on the fungal and bacterial ecology of home indoor air","Building and Environment",NA,"3601323","10.1016/j.buildenv.2020.106800","https://linkinghub.elsevier.com/retrieve/pii/S036013232030158X","The following study explores how measured ventilation rates influence bacterial and fungal community structure and concentrations in the indoor air of homes ventilated by leakage-based airflow. The dynamics of bacterial and fungal communities were quantified from homes within the Cherokee Nation in North Eastern, Oklahoma, USA, where seasonal air exchange rates (AERs) were measured, and seasonal outdoor and indoor air, floor dust, and settled dust samples were collected. Quantitative PCR (qPCR) and DNA amplicon sequencing were paired with a mass balance model to determine if high and low ventilation rate regimes impacted bacterial and fungal concentration and community structure, and to estimate the relative contributions of microbiota to indoor air from infiltration of outdoor air (ventilation) versus indoor emissions. For indoor PM10 and settled dusts samples, comparative analyses of microbial communities revealed no significant bacterial or fungal community differences between samples taken from homes dichotomized into high (average high AER = 0.56 hr−1) and low (average low AER = 0.16 hr−1) AER regimes (p > 0.1 for all), suggesting that ventilation was not a significant factor controlling bacterial and fungal concentrations and ecologies in the indoor air of these homes. A comparison between indoor emissions (typically due to occupancy and resuspension) and ventilation (infiltration of outdoor air) as a source of bacteria and fungi indicates that indoor emissions are the dominant source of particulate matter, bacteria, and fungi, accounting for  ̃94% indoor air PM10,  ̃97% of indoor air bacteria, and  ̃91% of indoor air fungi. Thus, indoor emission sources must be controlled to significantly impact human bacterial and fungal (allergen) exposure in the indoor air of these residential environments.","2020-06","25/04/2024 16:33","25/04/2024 16:33",NA,"106800",NA,"","177",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citation Key: kwan2020a","kwan2020a",NA,NA,NA,NA,"Microbiome; Single family home; Ventilation",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"ZMBZ8FVK","journalArticle",2020,"Yang, Jinho; Hong, Goohyeon; Kim, Youn Seup; Seo, Hochan; Kim, Sungwon; McDowell, Andrea; Lee, Won Hee; Kim, You Sun; Oh, Yeon Mok; Cho, You Sook; Choi, Young Woo; Kim, You Young; Jee, Young Koo; Kim, Yoon Keun","Lung disease diagnostic model through igg sensitization to microbial extracellular vesicles","Allergy, Asthma and Immunology Research",NA,"20927363","10.4168/aair.2020.12.4.669","https://e-aair.org/DOIx.php?id=10.4168/aair.2020.12.4.669","Purpose: Recently, there has been a rise in the interest to understand the composition of indoor dust due to its association with lung diseases such as asthma, chronic obstructive pulmonary disease (COPD) and lung cancer. Furthermore, it has been found that bacterial extracellular vesicles (EVs) within indoor dust particles can induce pulmonary inflammation, suggesting that these might play a role in lung disease. Methods: We performed microbiome analysis of indoor dust EVs isolated from mattresses in apartments and hospitals. We developed diagnostic models based on the bacterial EVs antibodies detected in serum samples via enzyme-linked immunosorbent assay (ELISA) in this analysis. Results: Proteobacteria was the most abundant bacterial EV taxa observed at the phylum level while Pseudomonas, Enterobacteriaceae (f) and Acinetobacter were the most prominent organisms at the genus level, followed by Staphylococcus. Based on the microbiome analysis, serum anti-bacterial EV immunoglobulin G (IgG), IgG1 and IgG4 were analyzed using ELISA with EV antibodies that targeted Staphylococcus aureus, Acinetobacter baumannii, Enterobacter cloacae and Pseudomonas aeruginosa. The levels of anti-bacterial EV antibodies were found to be significantly higher in patients with asthma, COPD and lung cancer compared to the healthy control group. We then developed a diagnostic model through logistic regression of antibodies that showed significant differences between groups with smoking history as a covariate. Four different variable selection methods were compared to construct an optimal diagnostic model with area under the curves ranging from 0.72 to 0.81. Conclusions: The results of this study suggest that ELISA-based analysis of anti-bacterial EV antibodies titers can be used as a diagnostic tool for lung disease. The present findings provide insights into the pathogenesis of lung disease as well as a foundation for developing a novel diagnostic methodology that synergizes microbial EV metagenomics and immune assays.","2020","25/04/2024 16:33","25/04/2024 16:33",NA,"669–683",NA,"4","12",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citation Key: yang2020a","yang2020a",NA,NA,NA,NA,"Asthma; Bacteria; Chronic obstructive pulmonary disease; Diagnosis; Dust; Extracellular vesicles; Lung neoplasms; microbiome",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"J9M8T2FI","journalArticle",2019,"Casas, Lidia; Karvonen, Anne M.; Kirjavainen, Pirkka V.; Täubel, Martin; Hyytiäinen, Heidi; Jayaprakash, Balamuralikrishna; Lehmann, Irina; Standl, Marie; Pekkanen, Juha; Heinrich, Joachim","Early life home microbiome and hyperactivity/inattention in school-age children","Scientific Reports",NA,"2045-2322","10.1038/s41598-019-53527-1","https://www.nature.com/articles/s41598-019-53527-1","This study evaluates the association between indoor microbial diversity early in life and hyperactivity/inattention symptoms in children at ages 10 and 15 years.A random sample enriched with subjects with hyperactivity/inattention at age 15 years was selected from the German LISA birth cohort. Bedroom floor dust was collected at age 3 months and 4 bacterial and fungal diversity measures [number of observed operational taxonomic units (OTUs), Chao1, Shannon and Simpson indices] were calculated from Illumina MiSeq sequencing data. Hyperactivity/inattention was based on the Strengths and Difficulties Questionnaire at ages 10 and 15 (cut-off ≥7). Adjusted associations between 4 diversity measures in tertiles and hyperactivity/inattention were investigated with weighted and survey logistic regression models. We included 226 individuals with information on microbial diversity and hyperactivity/inattention. Early life bacterial diversity was inversely associated with hyperactivity/inattention at age 10 [bacterial OTUs (medium vs low: aOR = 0.4, 95%CI = (0.2–0.8)) and Chao1 (medium vs low: 0.3 (0.1–0.5); high vs low: 0.3 (0.2–0.6)], whereas fungal diversity was directly associated [Chao1 (high vs low: 2.1 (1.1–4.0)), Shannon (medium vs low: 2.8 (1.3–5.8)), and Simpson (medium vs low: 4.7 (2.4–9.3))]. At age 15, only Shannon index was significantly associated with hyperactivity/inattention [bacteria (medium vs low: 2.3 (1.2–4.2); fungi (high vs low: 0.5 (0.3–0.9))]. In conclusion, early life exposure to microbial diversity may play a role in the psychobehavioural development. We observe heterogeneity in the direction of the associations encouraging further longitudinal studies to deepen our understanding of the characteristics of the microbial community underlying the observed associations.","2019-11","25/04/2024 16:33","25/04/2024 16:33",NA,"17355",NA,"1","9",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citation Key: casas2019a PMID: 31758010","casas2019a ",31758010,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"3B72QXHM","journalArticle",2019,"Richardson, Miles; Gottel, Neil; Gilbert, Jack A.; Gordon, Julian; Gandhi, Prasanthi; Reboulet, Rachel; Hampton-Marcell, Jarrad T.","Concurrent measurement of microbiome and allergens in the air of bedrooms of allergy disease patients in the Chicago area","Microbiome",NA,"2049-2618","10.1186/s40168-019-0695-5","https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-019-0695-5","The particulate and biological components of indoor air have a substantial impact on human health, especially immune respiratory conditions such as asthma. To better explore the relationship between allergens, the microbial community, and the indoor living environment, we sampled the bedrooms of 65 homes in the Chicago area using 23the patient-friendly Inspirotec electrokinetic air sampling device, which collects airborne particles for characterization of both allergens and microbial DNA. The sampling device captured sufficient microbial material to enable 16S rRNA amplicon sequencing data to be generated for every sample in the study. Neither the presence of HEPA filters nor the height at which the air sampling device was placed had any influence on the microbial community profile. A core microbiota of 31 OTUs was present in more than three quarters of the samples, comprising around 45% of the relative sequence counts in each bedroom. The most abundant single organisms were Staphylococcus, with other core taxa both human and outdoor-associated. Bacterial alpha diversity was significantly increased in bedrooms that reported having open windows, those with flowering plants in the vicinity, and those in homes occupied by dogs. Porphyromonas, Moraxella, Sutterella, and Clostridium, along with family Neisseraceae, were significantly enriched in homes with dogs; interestingly, cats did not show a significant impact on microbial diversity or relative abundance. While dog allergen load was significantly correlated with bacterial alpha diversity, the taxa that significantly correlated with allergen burden did not exclusively overlap with those enriched in homes with dogs. Alternaria allergen load was positively correlated with bacterial alpha diversity, while Aspergillus allergen load was negatively correlated. The Alternaria allergen load was also significantly correlated with open windows. Microbial communities were significantly differentiated between rural, suburban, and urban homes and houses that were physically closer to each other maintained significantly more similar microbiota. We have demonstrated that it is possible to determine significant associations between allergen burden and the microbiota in air from the same sample and that these associations relate to the characteristics of the home and neighborhoods.","2019-12","25/04/2024 16:33","25/04/2024 16:33",NA,"82",NA,"1","7",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citation Key: richardson2019a PMID: 31159879","richardson2019a ",31159879,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"53PS6XAR","journalArticle",2019,"Kirjavainen, Pirkka V.; Karvonen, Anne M.; Adams, Rachel I.; Täubel, Martin; Roponen, Marjut; Tuoresmäki, Pauli; Loss, Georg; Jayaprakash, Balamuralikrishna; Depner, Martin; Ege, Markus Johannes; Renz, Harald; Pfefferle, Petra Ina; Schaub, Bianca; Lauener, Roger; Hyvärinen, Anne; Knight, Rob; Heederik, Dick J. J.; von Mutius, Erika; Pekkanen, Juha","Farm-like indoor microbiota in non-farm homes protects children from asthma development","Nature Medicine",NA,"1078-8956","10.1038/s41591-019-0469-4","https://www.nature.com/articles/s41591-019-0469-4","Asthma prevalence has increased in epidemic proportions with urbanization, but growing up on traditional farms offers protection even today1. The asthma-protective effect of farms appears to be associated with rich home dust microbiota2,3, which could be used to model a health-promoting indoor microbiome. Here we show by modeling differences in house dust microbiota composition between farm and non-farm homes of Finnish birth cohorts4 that in children who grow up in non-farm homes, asthma risk decreases as the similarity of their home bacterial microbiota composition to that of farm homes increases. The protective microbiota had a low abundance of Streptococcaceae relative to outdoor-associated bacterial taxa. The protective effect was independent of richness and total bacterial load and was associated with reduced proinflammatory cytokine responses against bacterial cell wall components ex vivo. We were able to reproduce these findings in a study among rural German children2 and showed that children living in German non-farm homes with an indoor microbiota more similar to Finnish farm homes have decreased asthma risk. The indoor dust microbiota composition appears to be a definable, reproducible predictor of asthma risk and a potential modifiable target for asthma prevention.","2019-07","25/04/2024 16:33","25/04/2024 16:33",NA,"1089–1095",NA,"7","25",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citation Key: kirjavainen2019a PMID: 31209334","kirjavainen2019a ",31209334,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"A3ISVABQ","journalArticle",2019,"Karvonen, Anne M.; Kirjavainen, Pirkka V.; Täubel, Martin; Jayaprakash, Balamuralikrishna; Adams, Rachel I.; Sordillo, Joanne E.; Gold, Diane R.; Hyvärinen, Anne; Remes, Sami; von Mutius, Erika; Pekkanen, Juha","Indoor bacterial microbiota and development of asthma by 10.5 years of age","Journal of Allergy and Clinical Immunology",NA,"916749","10.1016/j.jaci.2019.07.035","https://linkinghub.elsevier.com/retrieve/pii/S0091674919310334","Background: Early-life indoor bacterial exposure is associated with the risk of asthma, but the roles of specific bacterial genera are poorly understood. Objective: We sought to determine whether individual bacterial genera in indoor microbiota predict the development of asthma. Methods: Dust samples from living rooms were collected at 2 months of age. The dust microbiota was characterized by using Illumina MiSeq sequencing amplicons of the bacterial 16S ribosomal RNA gene. Children (n = 373) were followed up for ever asthma until the age of 10.5 years. Results: Richness was inversely associated with asthma after adjustments (P = .03). The phylogenetic microbiota composition in asthmatics patients' homes was characteristically different from that in nonasthmatic subjects' homes (P = .02, weighted UniFrac, adjusted association, permutational multivariate analysis of variance, PERMANOVA-S). The first 2 axis scores of principal coordinate analysis of the weighted UniFrac distance matrix were inversely associated with asthma. Of 658 genera detected in the dust samples, the relative abundances of 41 genera correlated (r > |0.4|) with one of these axes. Lactococcus genus was a risk factor for asthma (adjusted odds ratio, 1.36 [95% CI, 1.13-1.63] per interquartile range change). The abundance of 12 bacterial genera (mostly from the Actinomycetales order) was associated with lower asthma risk (P < .10), although not independently of each other. The sum relative abundance of these 12 intercorrelated genera was significantly protective and explained the majority of the association of richness with less asthma. Conclusion: Our data confirm that phylogenetic differences in the microbiota of infants' homes are associated with subsequent asthma risk and suggest that communities of selected bacteria are more strongly linked to asthma protection than individual bacterial taxa or mere richness.","2019-11","25/04/2024 16:33","25/04/2024 16:33",NA,"1402–1410",NA,"5","144",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citation Key: karvonen2019a PMID: 31415782","karvonen2019a ",31415782,NA,NA,NA,"Asthma development; children; diversity; environment; Lactococcus species",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"KTCV5F3J","journalArticle",2018,"Hyytiäinen, Heidi K.; Jayaprakash, Balamuralikrishna; Kirjavainen, Pirkka V.; Saari, Sampo E.; Holopainen, Rauno; Keskinen, Jorma; Hämeri, Kaarle; Hyvärinen, Anne; Boor, Brandon E.; Täubel, Martin","Crawling-induced floor dust resuspension affects the microbiota of the infant breathing zone","Microbiome",NA,"2049-2618","10.1186/s40168-018-0405-8","https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-018-0405-8","Background: Floor dust is commonly used for microbial determinations in epidemiological studies to estimate early-life indoor microbial exposures. Resuspension of floor dust and its impact on infant microbial exposure is, however, little explored. The aim of our study was to investigate how floor dust resuspension induced by an infant's crawling motion and an adult walking affects infant inhalation exposure to microbes. Results: We conducted controlled chamber experiments with a simplified mechanical crawling infant robot and an adult volunteer walking over carpeted flooring. We applied bacterial 16S rRNA gene sequencing and quantitative PCR to monitor the infant breathing zone microbial content and compared that to the adult breathing zone and the carpet dust as the source. During crawling, fungal and bacterial levels were, on average, 8-to 21-fold higher in the infant breathing zone compared to measurements from the adult breathing zone. During walking experiments, the increase in microbial levels in the infant breathing zone was far less pronounced. The correlation in rank orders of microbial levels in the carpet dust and the corresponding infant breathing zone sample varied between different microbial groups but was mostly moderate. The relative abundance of bacterial taxa was characteristically distinct in carpet dust and infant and adult breathing zones during the infant crawling experiments. Bacterial diversity in carpet dust and the infant breathing zone did not correlate significantly. Conclusions: The microbiota in the infant breathing zone differ in absolute quantitative and compositional terms from that of the adult breathing zone and of floor dust. Crawling induces resuspension of floor dust from carpeted flooring, creating a concentrated and localized cloud of microbial content around the infant. Thus, the microbial exposure of infants following dust resuspension is difficult to predict based on common house dust or bulk air measurements. Improved approaches for the assessment of infant microbial exposure, such as sampling at the infant breathing zone level, are needed.","2018-12","25/04/2024 16:33","25/04/2024 16:33",NA,"25",NA,"1","6",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citation Key: hyytiaeinen2018a PMID: 29394954","hyytiaeinen2018a ",29394954,NA,NA,NA,"16S rRNA gene sequencing; Indoor microbial exposure; Infant exposure; Particle resuspension; QPCR",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"PJ76HBQ7","journalArticle",2018,"Nygaard, Anders B.; Charnock, Colin","Longitudinal development of the dust microbiome in a newly opened Norwegian kindergarten","Microbiome",NA,"2049-2618","10.1186/s40168-018-0553-x","https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-018-0553-x","Background: In Norway, 91% of children aged 1-5 attend kindergarten where they are exposed to indoor microbiomes which can have relevance for development and health. In order to gain a better understanding of the composition of the indoor microbiome and how it is affected by occupancy over time, floor dust samples from a newly opened kindergarten were investigated. Samples were collected during an 11-month period. Samples were analyzed for bacterial composition using 16S rRNA gene sequencing. Samples were also screened for four clinically relevant antibiotic resistance genes. In addition, Petrifilm analyses were used to evaluate surface hygiene. Results: Significant changes in the microbial community composition were observed over time (PERMANOVA, P < 0.05). Particularly, changes in the abundance and the proportions of human associated bacteria were found. A decrease in the prevalence of Propionibacterium from over 16% abundance to less than 1% and an increase in Streptococcus from 10 to 16% were the most significant findings. Four classes of clinically relevant antibiotic resistance genes were tested for; three were detected in the dust, indicating the presence of resistant bacteria and a potential for resistance spread. Petrifilm analysis showed that some surfaces in the kindergarten were of consistent poor hygienic quality, and new hygienic routines are required. Conclusions: This study, which is the first of its kind performed at a newly opened kindergarten, reveals changes in the microbiome over time as well as the presence of antibiotic resistance genes and hygiene issues which are of relevance for occupant health.","2018-12","25/04/2024 16:33","25/04/2024 16:33",NA,"159",NA,"1","6",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citation Key: nygaard2018a PMID: 30219104","nygaard2018a ",30219104,NA,NA,NA,"Antibiotic resistance; Built environment; Dust analysis; Indoor microbiome; Kindergarten",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"BQEW2GJF","journalArticle",2018,"Fahimipour, Ashkaan K.; Ben Maamar, Sarah; McFarland, Alexander G.; Blaustein, Ryan A.; Chen, Jing; Glawe, Adam J.; Kline, Jeff; Green, Jessica L.; Halden, Rolf U.; Van Den Wymelenberg, Kevin; Huttenhower, Curtis; Hartmann, Erica M.","Antimicrobial chemicals associate with microbial function and antibiotic resistance indoors","mSystems",NA,"2379-5077","10.1128/mSystems.00200-18","https://journals.asm.org/doi/10.1128/mSystems.00200-18","The ubiquitous use of antimicrobial chemicals may have undesired consequences, particularly on microbes in buildings. This study shows that the taxonomy and function of microbes in indoor dust are strongly associated with antimicrobial chemicals—more so than any other feature of the buildings. Moreover, we identified links between antimicrobial chemical concentrations in dust and culturable bacteria that are cross-resistant to three clinically relevant antibiotics. These findings suggest that humans may be influencing the microbial species and genes that are found indoors through the addition and removal of particular antimicrobial chemicals.","2018-10","25/04/2024 16:33","25/04/2024 16:33",NA,"00200–00218",NA,"6","3",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citation Key: fahimipour2018a","fahimipour2018a",NA,NA,NA,NA,"",NA,"Jansson, Janet K.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
